vat,issue_date,due_date,repayment_date,amount
CHE-287.003.435,07/02/2015,09/09/2015,10/01/2015,2675
CHE-105.542.149,07/03/2015,08/04/2015,08/03/2015,17562
CHE-103.635.820,07/04/2015,08/09/2015,08/06/2015,3812.25
CHE-216.731.683,07/06/2015,09/02/2015,08/27/2015,25307
CHE-103.635.820,07/08/2015,09/30/2015,10/03/2015,25558
CHE-229.836.440,07/08/2015,08/14/2015,08/25/2015,48849
CHE-325.933.806,07/09/2015,08/07/2015,08/05/2015,9517
CHE-287.003.435,07/10/2015,10/05/2015,10/06/2015,2305.75
CHE-109.793.257,07/10/2015,08/09/2015,08/25/2015,33655
CHE-147.717.330,07/11/2015,08/17/2015,08/27/2015,7393
CHE-115.471.861,07/14/2015,09/15/2015,10/05/2015,31822
CHE-113.165.735,07/17/2015,09/11/2015,09/14/2015,30872.4
CHE-108.367.756,07/17/2015,08/18/2015,08/17/2015,10824.65
CHE-287.003.43,07/20/2015,08/30/2015,09/01/2015,7069
CHE-113.165.735,07/20/2015,08/30/2015,08/27/2015,22470
CHE-327.777.809,07/23/2015,09/09/2015,09/03/2015,12519.92
CHE-115.016.483,07/24/2015,08/22/2015,08/19/2015,4806.4
CHE-113.988.526,07/25/2015,10/18/2015,,12528.2
CHE-118.129.096,07/30/2015,09/09/2015,09/15/2015,7071
CHE-112.205.951,07/30/2015,08/20/2015,08/29/2015,22072
CHE-115.47.861,07/31/2015,09/08/2015,09/06/2015,13822
CHE-273.147.077,08/04/2015,09/20/2015,09/27/2015,3018.55
CHE-110.229.427,08/04/2015,09/15/2015,09/08/2015,6896
103.635.820,08/06/2015,10/03/2015,09/30/2015,6493.16
CHE-210.703.637,08/06/2015,09/29/2015,09/24/2015,50692.4
CHE-436921257,08/08/2015,09/01/2015,09/14/2015,5400
CHE-210.703.637,08/12/2015,08/29/2015,08/31/2015,112275
CHE-147.717.330,08/15/2015,09/19/2015,09/10/2015,49637.94
CHE-114.670.371,08/16/2015,10/15/2015,10/13/2015,5668.95
CHE-110.229.427,08/17/2015,09/20/2015,09/17/2015,1816.62
CHE-262.110.888,08/17/2015,11/23/2015,,9607
CHE-103.635.820,08/21/2015,10/02/2015,10/01/2015,4177
CHE-273.147.077,08/21/2015,09/13/2015,09/11/2015,15267
CHE-216.731.683,08/24/2015,10/24/2015,10/23/2015,18093
CHE-118.129.096,08/25/2015,10/10/2015,09/29/2015,2509
CHE-105.224.441,08/27/2015,10/27/2015,10/26/2015,44073
CHE-181.684.580,08/27/2015,10/21/2015,10/20/2015,3179
CHE-147.717.330,08/27/2015,10/01/2015,09/29/2015,39634
CHE-269.097.953,08/30/2015,10/01/2015,09/30/2015,17131
CHE-269.097.953,09/08/2015,12/28/2015,12/28/2015,1721
CHE-109.793.257,09/09/2015,11/07/2015,10/09/2015,78977.77
CHE-113.570.828,09/12/2015,11/21/2015,11/20/2015,28112
CHE-185.846.241,09/12/2015,11/10/2015,11/06/2015,1388
CHE-115.471.861,09/19/2015,11/18/2015,11/14/2015,1571
CHE-146.392.507,09/21/2015,10/28/2015,11/12/2015,7641
CHE-115.471.861,09/21/2015,10/08/2015,10/05/2015,13089
CHE-463.858.918,09/23/2015,11/16/2015,11/14/2015,8167
CHE-269.097.953,09/28/2015,10/14/2015,10/12/2015,9965
105.791.282,09/28/2015,10/27/2015,,23061
CHE-110.229.427,09/29/2015,11/24/2015,11/23/2015,1637
CHE-185.846.241,10/02/2015,10/25/2015,10/23/2015,10347
CHE-110.229.427,10/05/2015,10/24/2015,10/23/2015,3308
CHE-216.708.287,10/10/2015,11/16/2015,11/19/2015,9614
CHE-201.075.798,10/12/2015,12/24/2015,12/25/2015,9671.35
CHE-269.097.953,10/13/2015,12/22/2015,12/29/2015,3365.8
CHE-106.820.451,10/18/2015,11/15/2015,11/13/2015,7273
CHE-114.927.443,10/21/2015,11/27/2015,11/23/2015,2237
CHE-110.229.427,10/24/2015,12/18/2015,12/16/2015,14077
CHE-102.754.082,10/27/2015,11/08/2015,11/02/2015,111590
CHE-186.082.052,10/31/2015,12/25/2015,12/23/2015,2019
CHE-109.793.257,11/12/2015,01/16/2016,01/14/2016,11061
CHE-327.777.809,11/12/2015,12/09/2015,12/08/2015,6468
CHE-102.754.082,11/13/2016,01/07/2017,,4516.55
